2026-03-18T04:55:06.476Z | GET /health | 5ms | success
2026-03-18T10:04:57.325Z | GET / | 0ms | error
2026-03-18T10:07:46.939Z | GET /health | 1ms | success
2026-03-18T10:07:46.944Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:07:46.945Z | GET /health | 0ms | success
2026-03-18T10:07:46.948Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:08:27.805Z | GET /health | 1ms | success
2026-03-18T10:08:27.809Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:08:27.812Z | GET /health | 1ms | success
2026-03-18T10:08:27.815Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:08:41.413Z | POST /api/triage | 923ms | success
2026-03-18T10:10:26.746Z | GET /api/history?limit=20 | 0ms | success
2026-03-18T10:10:26.744Z | GET /health | 0ms | success
2026-03-18T10:10:26.748Z | GET /health | 0ms | success
2026-03-18T10:10:26.750Z | GET /api/history?limit=20 | 0ms | success
2026-03-18T10:10:26.983Z | GET /health | 0ms | success
2026-03-18T10:10:26.985Z | GET /api/history?limit=20 | 0ms | success
2026-03-18T10:10:26.986Z | GET /health | 0ms | success
2026-03-18T10:10:26.989Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:10:59.681Z | GET /health | 0ms | success
2026-03-18T10:10:59.688Z | GET /health | 0ms | success
2026-03-18T10:10:59.687Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:10:59.690Z | GET /api/history?limit=20 | 0ms | success
2026-03-18T10:11:10.372Z | GET /health | 0ms | success
2026-03-18T10:13:27.655Z | GET /health | 0ms | success
2026-03-18T10:13:27.658Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:13:27.659Z | GET /health | 0ms | success
2026-03-18T10:13:27.661Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:19:11.446Z | GET /health | 1ms | success
2026-03-18T10:19:11.449Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:19:11.451Z | GET /health | 1ms | success
2026-03-18T10:19:11.453Z | GET /api/history?limit=20 | 0ms | success
2026-03-18T10:19:15.597Z | POST /api/triage | 30ms | success
2026-03-18T10:20:23.439Z | GET /health | 1ms | success
2026-03-18T10:20:23.441Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:20:23.982Z | GET /health | 0ms | success
2026-03-18T10:20:23.986Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:20:40.137Z | GET /health | 1ms | success
2026-03-18T10:20:40.141Z | GET /api/history?limit=20 | 2ms | success
2026-03-18T10:20:40.144Z | GET /health | 1ms | success
2026-03-18T10:20:40.147Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:20:43.162Z | POST /api/triage | 32ms | success
2026-03-18T10:20:43.180Z | POST /api/history | 6ms | success
2026-03-18T10:20:43.197Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:22:58.662Z | GET /health | 2ms | success
2026-03-18T10:22:58.673Z | GET /health | 1ms | success
2026-03-18T10:22:58.687Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:22:58.680Z | GET /api/history?limit=20 | 2ms | success
2026-03-18T10:23:03.487Z | POST /api/triage | 628ms | success
2026-03-18T10:23:03.505Z | POST /api/history | 5ms | success
2026-03-18T10:23:03.545Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:24:46.547Z | GET /health | 2ms | success
2026-03-18T10:24:46.555Z | GET /health | 1ms | success
2026-03-18T10:24:46.560Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:24:46.564Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:24:51.010Z | POST /api/triage | 822ms | success
2026-03-18T10:24:51.028Z | POST /api/history | 5ms | success
2026-03-18T10:24:51.062Z | GET /api/history?limit=20 | 2ms | success
2026-03-18T10:29:05.576Z | POST /api/triage | 769ms | success
2026-03-18T10:29:18.892Z | POST /api/triage | 0ms | success
2026-03-18T10:29:18.907Z | POST /api/triage | 1ms | success
2026-03-18T10:29:18.920Z | POST /api/triage | 1ms | success
2026-03-18T10:29:36.011Z | GET /health | 0ms | success
2026-03-18T10:29:36.017Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T10:29:36.020Z | GET /health | 0ms | success
2026-03-18T10:29:36.024Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:29:41.502Z | POST /api/triage | 654ms | success
2026-03-18T10:29:41.515Z | POST /api/history | 4ms | success
2026-03-18T10:29:41.526Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:30:22.859Z | GET /health | 1ms | success
2026-03-18T10:30:22.863Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T10:30:22.865Z | GET /health | 0ms | success
2026-03-18T10:30:22.871Z | GET /api/history?limit=20 | 2ms | success
2026-03-18T10:33:26.317Z | GET /health | 0ms | success
2026-03-18T10:33:26.321Z | GET /api/history?limit=20 | 2ms | success
2026-03-18T10:33:26.954Z | GET /health | 0ms | success
2026-03-18T10:33:26.957Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:33:26.958Z | GET /health | 0ms | success
2026-03-18T10:33:26.961Z | GET /api/history?limit=20 | 1ms | success
2026-03-18T10:37:23.130Z | POST /api/triage | 469ms | success
2026-03-18T10:38:01.852Z | POST /api/triage | 1ms | success
2026-03-18T10:40:48.137Z | POST /api/triage | 432ms | success
2026-03-18T10:42:58.370Z | GET /health | 4ms | success
2026-03-18T10:42:58.382Z | GET /health | 5ms | success
2026-03-18T10:42:58.424Z | GET /api/history?limit=20 | 17ms | success
2026-03-18T10:42:58.449Z | GET /api/history?limit=20 | 8ms | success
2026-03-18T10:43:04.540Z | POST /api/triage | 818ms | success
2026-03-18T10:43:04.594Z | POST /api/history | 18ms | success
2026-03-18T10:43:04.821Z | GET /api/history?limit=20 | 7ms | success
2026-03-18T10:43:50.248Z | GET /api/history?limit=20 | 14ms | success
2026-03-18T10:44:13.414Z | GET /api/history?limit=20 | 6ms | success
2026-03-18T10:44:16.995Z | GET /api/history?limit=20 | 4ms | success
2026-03-18T10:44:18.350Z | GET /api/history?limit=20 | 5ms | success
2026-03-18T10:44:19.928Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T10:47:36.701Z | POST /api/triage | 449ms | success
2026-03-18T10:48:02.858Z | GET /health | 7ms | success
2026-03-18T10:48:02.874Z | GET /health | 1ms | success
2026-03-18T10:48:02.914Z | GET /api/history?limit=20 | 15ms | success
2026-03-18T10:48:02.938Z | GET /api/history?limit=20 | 7ms | success
2026-03-18T10:48:09.396Z | POST /api/triage | 632ms | success
2026-03-18T10:48:09.443Z | POST /api/history | 16ms | success
2026-03-18T10:48:09.521Z | GET /api/history?limit=20 | 17ms | success
2026-03-18T10:48:23.742Z | POST /api/triage | 977ms | success
2026-03-18T10:48:23.788Z | POST /api/history | 16ms | success
2026-03-18T10:48:23.883Z | GET /api/history?limit=20 | 60ms | success
2026-03-18T10:51:51.234Z | GET /health | 9ms | success
2026-03-18T10:51:51.261Z | GET /health | 3ms | success
2026-03-18T10:51:51.294Z | GET /api/history?limit=20 | 11ms | success
2026-03-18T10:51:51.314Z | GET /api/history?limit=20 | 12ms | success
2026-03-18T10:51:58.285Z | POST /api/triage | 383ms | success
2026-03-18T10:51:58.338Z | POST /api/history | 23ms | success
2026-03-18T10:51:58.395Z | GET /api/history?limit=20 | 15ms | success
2026-03-18T10:52:06.826Z | GET /api/history?limit=20 | 13ms | success
2026-03-18T11:27:43.683Z | GET /health | 8ms | success
2026-03-18T11:27:43.707Z | GET /health | 1ms | success
2026-03-18T11:27:43.723Z | GET /api/history?limit=20 | 10ms | success
2026-03-18T11:27:43.731Z | GET /api/history?limit=20 | 4ms | success
2026-03-18T11:27:53.914Z | POST /api/triage | 365ms | success
2026-03-18T11:27:53.929Z | POST /api/history | 4ms | success
2026-03-18T11:27:54.119Z | GET /api/history?limit=20 | 4ms | success
2026-03-18T11:28:55.959Z | GET /health | 3ms | success
2026-03-18T11:28:55.967Z | GET /health | 0ms | success
2026-03-18T11:28:55.975Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T11:28:55.982Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T11:29:00.555Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T11:29:08.238Z | GET /health | 0ms | success
2026-03-18T11:29:08.245Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T11:29:08.248Z | GET /health | 1ms | success
2026-03-18T11:29:08.254Z | GET /api/history?limit=20 | 2ms | success
2026-03-18T11:29:20.781Z | POST /api/triage/detailed | 370ms | success
2026-03-18T11:29:20.793Z | POST /api/history | 4ms | success
2026-03-18T11:29:20.817Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T11:29:24.536Z | GET /health | 2ms | success
2026-03-18T11:29:24.543Z | GET /health | 0ms | success
2026-03-18T11:29:24.552Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T11:29:24.559Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T11:29:26.999Z | POST /api/triage | 359ms | success
2026-03-18T11:29:27.011Z | POST /api/history | 4ms | success
2026-03-18T11:29:27.032Z | GET /api/history?limit=20 | 4ms | success
2026-03-18T11:29:30.615Z | POST /api/compare | 409ms | success
2026-03-18T11:30:31.444Z | GET /health | 0ms | success
2026-03-18T11:30:31.451Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T11:30:31.453Z | GET /health | 0ms | success
2026-03-18T11:30:31.458Z | GET /api/history?limit=20 | 2ms | success
2026-03-18T12:22:59.995Z | GET /health | 12ms | success
2026-03-18T12:23:00.015Z | GET /health | 1ms | success
2026-03-18T12:23:00.030Z | GET /api/history?limit=20 | 7ms | success
2026-03-18T12:23:00.037Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T12:23:04.364Z | POST /api/triage | 361ms | success
2026-03-18T12:23:04.379Z | POST /api/history | 4ms | success
2026-03-18T12:23:04.471Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T12:25:38.390Z | GET /health | 3ms | success
2026-03-18T12:25:38.401Z | GET /health | 1ms | success
2026-03-18T12:25:38.413Z | GET /api/history?limit=20 | 5ms | success
2026-03-18T12:25:38.420Z | GET /api/history?limit=20 | 2ms | success
2026-03-18T12:25:44.244Z | POST /api/triage | 2506ms | success
2026-03-18T12:25:44.292Z | POST /api/history | 19ms | success
2026-03-18T12:25:44.457Z | GET /api/history?limit=20 | 9ms | success
2026-03-18T12:28:28.196Z | POST /api/triage/detailed | 2512ms | success
2026-03-18T12:29:25.453Z | GET /health | 1ms | success
2026-03-18T12:29:25.462Z | GET /api/history?limit=20 | 5ms | success
2026-03-18T12:29:25.467Z | GET /health | 1ms | success
2026-03-18T12:29:25.473Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T12:29:27.320Z | GET /health | 0ms | success
2026-03-18T12:29:27.327Z | GET /api/history?limit=20 | 4ms | success
2026-03-18T12:29:27.330Z | GET /health | 0ms | success
2026-03-18T12:29:27.337Z | GET /api/history?limit=20 | 3ms | success
2026-03-18T12:29:32.079Z | POST /api/triage | 2507ms | success
2026-03-18T12:29:32.093Z | POST /api/history | 5ms | success
2026-03-18T12:29:32.143Z | GET /api/history?limit=20 | 3ms | success
